,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
?????????????????? ?? 2568P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country of,2025p,,,,,,,,,,,,,2024p,,,,,,,,,,,,,Country of,%CHANG,,,,,,,,,,,,,,,
Nationality,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD (Jan-Dec),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD (Jan-Dec),Nationality,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD (Jan-Dec),,,
Uzbekistan," 11,205 "," 7,276 "," 4,673 "," 3,436 "," 2,173 "," 1,641 "," 2,562 "," 2,826 "," 2,213 "," 3,799 "," 6,292 "," 7,738 "," 55,834 "," 6,205 "," 4,899 "," 3,163 "," 2,089 "," 1,996 "," 2,056 "," 2,495 "," 2,059 "," 2,464 "," 3,103 "," 6,762 "," 8,055 "," 45,346 ",Uzbekistan,+80.58,+48.52,+47.74,+64.48,+8.87,-20.18,+2.69,+37.25,-10.19,+22.43,-6.95,-3.94,+23.13,,,
Southern/Medit. Europe," 123,968 "," 106,112 "," 95,335 "," 91,471 "," 56,494 "," 55,275 "," 97,415 "," 136,896 "," 88,081 "," 86,122 "," 114,356 "," 137,567 "," 1,189,092 "," 83,639 "," 76,781 "," 69,986 "," 65,617 "," 46,821 "," 53,249 "," 81,611 "," 118,957 "," 68,906 "," 79,739 "," 108,612 "," 117,942 "," 971,860 ",Southern/Medit. Europe,+48.22,+38.20,+36.22,+39.40,+20.66,+3.80,+19.37,+15.08,+27.83,+8.00,+5.29,+16.64,+22.35,,,
Croatia," 2,263 "," 1,848 "," 1,161 ", 618 , 416 , 342 , 440 , 470 , 437 , 675 ," 1,513 "," 2,321 "," 12,504 "," 1,483 "," 1,240 ", 969 , 433 , 269 , 204 , 268 , 426 , 409 , 589 ," 1,441 "," 2,225 "," 9,956 ",Croatia,+52.60,+49.03,+19.81,+42.73,+54.65,+67.65,+64.18,+10.33,+6.85,+14.60,+5.00,+4.31,+25.59,,,
Cyprus, 544 , 471 , 424 , 387 , 221 , 199 , 436 , 684 , 174 , 293 , 369 , 754 ," 4,956 ", 428 , 352 , 246 , 262 , 213 , 147 , 281 , 497 , 249 , 265 , 406 , 596 ," 3,942 ",Cyprus,+27.10,+33.81,+72.36,+47.71,+3.76,+35.37,+55.16,+37.63,-30.12,+10.57,-9.11,+26.51,+25.72,,,
Greece," 3,425 "," 2,726 "," 2,279 "," 1,486 ", 736 , 666 , 787 ," 1,684 ", 763 ," 1,416 "," 3,050 "," 4,234 "," 23,252 "," 3,031 "," 2,144 "," 1,933 "," 1,218 ", 987 , 669 , 772 ," 1,633 ", 771 ," 1,215 "," 2,633 "," 3,631 "," 20,637 ",Greece,+13.00,+27.15,+17.90,+22.00,-25.43,-0.45,+1.94,+3.12,-1.04,+16.54,+15.84,+16.61,+12.67,,,
Israel," 36,790 "," 33,111 "," 33,613 "," 36,294 "," 20,530 "," 14,783 "," 42,557 "," 43,628 "," 45,182 "," 34,626 "," 28,773 "," 40,238 "," 410,125 "," 13,657 "," 17,350 "," 17,923 "," 24,243 "," 17,672 "," 17,018 "," 28,814 "," 29,522 "," 27,892 "," 29,840 "," 26,797 "," 31,075 "," 281,803 ",Israel,+169.39,+90.84,+87.54,+49.71,+16.17,-13.13,+47.70,+47.78,+61.99,+16.04,+7.37,+29.49,+45.54,,,
Italy," 41,045 "," 33,115 "," 25,857 "," 22,301 "," 10,704 "," 11,750 "," 16,568 "," 42,533 "," 12,101 "," 15,728 "," 32,155 "," 47,995 "," 311,852 "," 33,368 "," 26,388 "," 20,399 "," 14,343 "," 9,046 "," 10,168 "," 15,985 "," 40,581 "," 11,147 "," 14,256 "," 29,600 "," 42,193 "," 267,474 ",Italy,+23.01,+25.49,+26.76,+55.48,+18.33,+15.56,+3.65,+4.81,+8.56,+10.33,+8.63,+13.75,+16.59,,,
Portugal," 5,222 "," 4,811 "," 5,232 "," 6,465 "," 3,087 "," 3,193 "," 3,255 "," 4,173 "," 2,680 "," 4,608 "," 8,016 "," 6,755 "," 57,497 "," 3,934 "," 4,330 "," 5,951 "," 4,145 "," 2,940 "," 2,818 "," 3,496 "," 4,998 "," 3,494 "," 4,668 "," 7,405 "," 6,614 "," 54,793 ",Portugal,+32.74,+11.11,-12.08,+55.97,+5.00,+13.31,-6.89,-16.51,-23.30,-1.29,+8.25,+2.13,+4.93,,,
Serbia," 2,303 "," 1,643 "," 1,372 ", 749 , 383 , 268 , 389 , 394 , 345 , 643 ," 1,455 "," 1,711 "," 11,655 "," 1,908 "," 1,447 "," 1,020 ", 648 , 346 , 229 , 330 , 285 , 331 , 514 ," 1,128 "," 1,541 "," 9,727 ",Serbia,+20.70,+13.55,+34.51,+15.59,+10.69,+17.03,+17.88,+38.25,+4.23,+25.10,+28.99,+11.03,+19.82,,,
Slovenia," 1,590 "," 2,579 "," 1,125 ", 824 , 383 , 489 , 846 , 451 , 531 ," 1,251 "," 1,365 "," 2,043 "," 13,477 "," 1,512 "," 1,957 ", 942 , 816 , 354 , 544 , 787 , 420 , 467 ," 1,213 "," 1,304 "," 1,810 "," 12,126 ",Slovenia,+5.16,+31.78,+19.43,+0.98,+8.19,-10.11,+7.50,+7.38,+13.70,+3.13,+4.68,+12.87,+11.14,,,
